target,model,split,seed,rmse,mae,nse,pi,rmse_monsoon,n,n_monsoon,feature_set,description,n_features,ridge_alpha,lgbm_best_iteration
Baruria,pistgnn,val,20260913,0.03226922330359231,0.02427192696644872,0.9997340194713462,0.9290010997758262,0.03312663848514132,328,86,,,,,
Baruria,pistgnn,test,20260913,0.031127955900146023,0.023031424963337117,0.999783791384829,0.901618542594355,0.02877738667367115,1096,369,,,,,
Baruria,pistgnn,val,20260914,0.032796116819242,0.02464403807280809,0.9997252626724044,0.9266636238053031,0.03242697390207614,328,86,,,,,
Baruria,pistgnn,test,20260914,0.030836560355152483,0.02251482344390255,0.9997878203894123,0.9034518615048072,0.029008771762919813,1096,369,,,,,
Baruria,pistgnn,val,20260915,0.032229926883100724,0.024267890744536415,0.999734666881945,0.9291739148339238,0.033341779916948956,328,86,,,,,
Baruria,pistgnn,test,20260915,0.03081943671912744,0.022577313211102845,0.9997880559719542,0.9035590586846889,0.03114002064731393,1096,369,,,,,
Baruria,pistgnn,val,mean,0.032431755668645014,0.024394618594597742,0.9997313163418985,0.928279546138351,0.03296513076805547,328,86,,,,,
Baruria,pistgnn,val,sd,0.0003161571416465778,0.00021601303167835295,5.252615622653078e-06,0.0014020948615941142,0.0004783106398780844,328,86,,,,,
Baruria,pistgnn,test,mean,0.030927984324808647,0.022707853872780837,0.9997865559153984,0.9028764875946171,0.029642059694634963,1096,369,,,,,
Baruria,pistgnn,test,sd,0.00017339197771195416,0.00028195732076685253,2.397049589766631e-06,0.0010907300429559836,0.0013024208331775134,1096,369,,,,,
Baruria,pistgnn,val,seed_avg_prediction,0.031971381058592444,0.02410364341451408,0.9997389067683807,0.9303056791609484,0.03241740291469086,328,86,,,,,
Baruria,pistgnn,test,seed_avg_prediction,0.03056193451114883,0.022441948296561064,0.9997915828409925,0.905163890739099,0.029244792536376067,1096,369,,,,,
Baruria,custom,val,20260913,0.030425094161770975,0.022143901769720038,0.9997635514352987,0.936884146601492,0.0324001511454552,328,86,,,,,
Baruria,custom,test,20260913,0.028437716491504464,0.020668315806217728,0.9998195481950024,0.9178889724024217,0.029130005756043496,1096,369,,,,,
Baruria,custom,val,20260914,0.03122954212906974,0.023095949131225327,0.9997508826049958,0.9335024215436827,0.03450030078181398,328,86,,,,,
Baruria,custom,test,20260914,0.02868488607663726,0.020967573262312834,0.9998163977289458,0.9164554150859978,0.028328217793289902,1096,369,,,,,
Baruria,custom,val,20260915,0.02996952184973004,0.02206684084829541,0.9997705793804901,0.9387601349753306,0.03308992143590192,328,86,,,,,
Baruria,custom,test,20260915,0.02804550429541282,0.020664225404265654,0.9998244914422973,0.9201382993906392,0.028213377634166394,1096,369,,,,,
Baruria,custom,val,mean,0.030541386046856914,0.022435563916413593,0.9997616711402615,0.9363822343735019,0.03333012445439037,328,86,,,,,
Baruria,custom,val,sd,0.000638009112779321,0.0005732068303493593,9.982102648656182e-06,0.0026645495952951166,0.0010704813129348407,328,86,,,,,
Baruria,custom,test,mean,0.02838936895451818,0.020766704824265406,0.9998201457887484,0.918160895626353,0.028557200394499934,1096,369,,,,,
Baruria,custom,test,sd,0.0003224211202603103,0.00017396919238687873,4.079814661015622e-06,0.0018564390321603001,0.0004993761630240963,1096,369,,,,,
Baruria,custom,val,seed_avg_prediction,0.030136432822541633,0.022141340781773208,0.9997680168136149,0.9380761020846129,0.03305944386624954,328,86,,,,,
Baruria,custom,test,seed_avg_prediction,0.028015011059049154,0.020493066281858565,0.9998248728877097,0.9203118685870492,0.02825439201030474,1096,369,,,,,
Baruria,ridge,val,,0.06307716558680616,0.04410324167282782,0.9989837111526689,0.7287192756710932,0.07102735415060907,328,86,A,own WLD-1..7,7.0,0.01,
Baruria,ridge,test,,0.059125365659404946,0.039128172185552146,0.999219955337804,0.6450560924797355,0.05400675440596307,1096,369,A,own WLD-1..7,7.0,0.01,
Baruria,lightgbm,val,,0.08252019388920735,0.057558181740710375,0.9982606246961371,0.5357038566831458,0.07888520568165563,328,86,A,own WLD-1..7,7.0,,968.0
Baruria,lightgbm,test,,0.07290349084103286,0.04879080397579566,0.9988140443775021,0.4603543320071347,0.07077432538757877,1096,369,A,own WLD-1..7,7.0,,968.0
